LocationCode,Latitude,Longitude,Face,Height
1,23.8994,121.5444,South,5
2,23.8997,121.5447,South,5
3,23.8997,121.545,South,5
4,23.8994,121.5444,South,5
5,23.8994,121.5447,Southwest,5
6,23.8994,121.5444,Southwest,5
7,23.8994,121.5444,South,5
8,23.8997,121.545,Southwest,3
9,23.8994,121.5444,Southeast,3
10,23.8994,121.5444,Southwest,1
11,23.8997,121.5447,Southeast,1
12,23.8997,121.5447,Northwest,1
13,23.8978,121.5394,West,5
14,23.8978,121.5394,South,5
15,24.0092,121.6172,Southeast,1
16,24.0092,121.6172,East,1
17,23.9933,121.5985,Northwest,3
